                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83813,                 1.9418,                 1.1866,                0.74394,                0.81093,                0.83918,                0.56366,                0.97481,                 1.6282,                 1.2122,              0.0033247,              0.0033247,              0.0033247
                      2,                0.77133,                 1.2058,                 1.1379,                0.76063,                0.86498,                0.85777,                0.59197,                 1.0555,                 1.0538,                 1.3473,              0.0066031,              0.0066031,              0.0066031
                      3,                0.87273,                 1.1191,                 1.1887,                0.59228,                 0.6492,                0.58954,                0.30739,                 1.7058,                 1.5527,                  1.881,              0.0098265,              0.0098265,              0.0098265
                      4,                0.93024,                  1.087,                 1.2284,                0.48819,                0.63781,                0.53148,                0.27156,                 1.5851,                 1.5725,                 1.7318,              0.0097525,              0.0097525,              0.0097525
                      5,                0.90779,                0.98292,                 1.2113,                 0.6561,                0.70159,                0.71066,                0.43238,                 1.3285,                 1.3947,                 1.5656,              0.0097525,              0.0097525,              0.0097525
                      6,                0.83408,                0.90931,                 1.1714,                0.74072,                0.68982,                 0.7862,                0.40986,                 1.5108,                 1.4779,                 1.6457,                0.00967,                0.00967,                0.00967
                      7,                0.78899,                0.84298,                 1.1437,                 0.6504,                0.59453,                0.70261,                0.42258,                  1.407,                 1.4958,                 1.6185,              0.0095875,              0.0095875,              0.0095875
                      8,                0.77567,                0.80667,                 1.1361,                0.53108,                0.56378,                0.50622,                0.29437,                 1.5086,                 1.5322,                 1.6903,               0.009505,               0.009505,               0.009505
                      9,                0.74336,                0.77194,                 1.1181,                 0.6946,                0.79385,                0.79118,                0.48308,                 1.2606,                0.99496,                 1.4502,              0.0094225,              0.0094225,              0.0094225
                     10,                0.72358,                0.74411,                 1.1048,                0.82131,                0.84282,                  0.876,                0.57742,                 1.1991,                0.97608,                 1.4735,                0.00934,                0.00934,                0.00934
                     11,                0.70464,                0.70404,                 1.0947,                0.74181,                0.88041,                0.79431,                0.48527,                 1.2505,                0.99483,                 1.4232,              0.0092575,              0.0092575,              0.0092575
                     12,                0.69846,                0.68499,                 1.0902,                0.84337,                0.84016,                0.87933,                0.61105,                 1.1419,                 1.0184,                 1.3453,               0.009175,               0.009175,               0.009175
                     13,                 0.6631,                0.67121,                 1.0727,                0.80548,                0.85308,                0.84078,                0.55665,                 1.1883,                0.95922,                 1.3693,              0.0090925,              0.0090925,              0.0090925
                     14,                0.66397,                0.65174,                 1.0714,                0.85993,                0.87927,                0.92129,                0.63026,                 1.1436,                0.83744,                 1.3087,                0.00901,                0.00901,                0.00901
                     15,                0.64452,                0.62606,                 1.0585,                0.85475,                0.86219,                0.91345,                0.65188,                 1.0108,                0.85158,                 1.2461,              0.0089275,              0.0089275,              0.0089275
                     16,                0.63354,                 0.6147,                 1.0527,                0.81143,                0.89066,                0.88089,                0.57429,                 1.1937,                 0.8031,                 1.3869,               0.008845,               0.008845,               0.008845
                     17,                0.63319,                0.60068,                 1.0546,                0.81502,                0.86813,                0.89272,                0.60778,                 1.1659,                0.90589,                  1.378,              0.0087625,              0.0087625,              0.0087625
                     18,                0.61217,                0.58937,                 1.0392,                0.63476,                0.57973,                0.66691,                0.40938,                 1.2669,                 1.2731,                 1.4669,                0.00868,                0.00868,                0.00868
                     19,                0.60585,                0.58041,                 1.0414,                0.65136,                 0.5672,                0.62669,                0.40788,                 1.2903,                 1.3698,                 1.4457,              0.0085975,              0.0085975,              0.0085975
                     20,                0.59973,                0.57246,                 1.0334,                0.77759,                0.80182,                0.82766,                0.53048,                 1.2354,                 1.0734,                 1.4373,               0.008515,               0.008515,               0.008515
                     21,                0.59807,                0.56686,                 1.0335,                0.85092,                0.84509,                0.86723,                0.57894,                 1.1581,                0.81681,                 1.3496,              0.0084325,              0.0084325,              0.0084325
                     22,                0.57912,                0.54072,                 1.0201,                0.80982,                 0.8508,                0.86985,                0.58603,                 1.1715,                0.87446,                 1.4039,                0.00835,                0.00835,                0.00835
                     23,                0.57029,                0.53629,                 1.0215,                0.73663,                0.78588,                0.82188,                0.50668,                 1.3985,                 1.0094,                 1.5012,              0.0082675,              0.0082675,              0.0082675
                     24,                0.56613,                  0.534,                 1.0168,                0.81732,                0.92255,                0.91397,                0.63382,                 1.1146,                0.68764,                 1.3314,               0.008185,               0.008185,               0.008185
                     25,                0.56496,                0.52476,                 1.0172,                0.81756,                0.81661,                 0.8626,                0.57235,                 1.2041,                 1.0555,                 1.3868,              0.0081025,              0.0081025,              0.0081025
                     26,                0.56084,                0.51599,                 1.0124,                0.76244,                0.74032,                 0.7982,                0.50684,                 1.2981,                 1.2448,                 1.4991,                0.00802,                0.00802,                0.00802
                     27,                0.54677,                0.50086,                 1.0111,                 0.8028,                0.81144,                 0.8599,                0.57469,                 1.2313,                 1.0008,                 1.4119,              0.0079375,              0.0079375,              0.0079375
                     28,                0.54691,                0.50437,                 1.0099,                0.80613,                 0.8713,                0.89593,                 0.6159,                 1.1156,                0.81081,                 1.3163,               0.007855,               0.007855,               0.007855
                     29,                0.54838,                0.50406,                 1.0073,                0.86813,                0.90888,                0.89127,                0.61164,                 1.0265,                0.72365,                 1.2638,              0.0077725,              0.0077725,              0.0077725
                     30,                0.54604,                0.49337,                 1.0054,                0.78828,                0.88205,                0.88309,                0.60672,                 1.0734,                 0.7395,                 1.2813,                0.00769,                0.00769,                0.00769
                     31,                0.53283,                0.48517,                 1.0065,                0.86071,                0.94989,                0.94597,                0.66336,                 1.0876,                0.62285,                 1.2832,              0.0076075,              0.0076075,              0.0076075
                     32,                0.53609,                0.48209,                 1.0002,                 0.8704,                0.89498,                0.93235,                0.64157,                 1.1662,                0.67722,                 1.3846,               0.007525,               0.007525,               0.007525
                     33,                0.51949,                0.47098,                0.99062,                0.87657,                0.91913,                 0.9399,                 0.7029,                0.96918,                0.61968,                 1.2359,              0.0074425,              0.0074425,              0.0074425
                     34,                0.52579,                0.47976,                0.99544,                0.82195,                0.83598,                0.87285,                0.61534,                 1.0932,                0.95279,                 1.3331,                0.00736,                0.00736,                0.00736
                     35,                0.50893,                0.46184,                0.99068,                0.77856,                0.75284,                0.83079,                0.51047,                 1.1996,                 1.1362,                 1.3521,              0.0072775,              0.0072775,              0.0072775
                     36,                0.51008,                0.45989,                0.99222,                0.81285,                0.89749,                 0.9069,                0.63503,                 1.0549,                0.68948,                 1.2446,               0.007195,               0.007195,               0.007195
                     37,                0.51516,                0.46072,                0.98708,                0.66161,                0.72323,                0.65365,                0.40962,                 1.5264,                 1.3495,                 1.6511,              0.0071125,              0.0071125,              0.0071125
                     38,                 0.5018,                0.44185,                0.98857,                0.81237,                0.89977,                0.89474,                0.60399,                 1.1318,                 0.7732,                 1.3111,                0.00703,                0.00703,                0.00703
                     39,                0.50583,                0.44576,                0.98277,                0.75573,                0.84568,                0.85217,                0.54133,                 1.2202,                0.95001,                 1.3499,              0.0069475,              0.0069475,              0.0069475
                     40,                0.50617,                0.44715,                0.98658,                0.80006,                0.83713,                0.85896,                  0.582,                 1.0882,                0.87214,                 1.2667,               0.006865,               0.006865,               0.006865
                     41,                0.49308,                0.43752,                0.97961,                0.74255,                0.82005,                0.82939,                0.58492,                 1.0817,                0.95528,                 1.2833,              0.0067825,              0.0067825,              0.0067825
                     42,                0.49859,                0.44287,                0.98396,                0.67328,                 0.8041,                0.73823,                0.48783,                 1.2379,                 1.0816,                 1.3787,                 0.0067,                 0.0067,                 0.0067
                     43,                0.48593,                0.42942,                0.97357,                0.81307,                0.84055,                0.87797,                0.59685,                 1.1639,                0.90857,                 1.3357,              0.0066175,              0.0066175,              0.0066175
                     44,                0.48082,                0.42238,                0.97235,                0.75951,                 0.8381,                0.84923,                0.60489,                 1.0722,                0.92731,                 1.2892,               0.006535,               0.006535,               0.006535
                     45,                0.47814,                0.42913,                0.97292,                0.84422,                 0.8918,                0.89199,                0.64017,                 1.0344,                0.80696,                 1.2435,              0.0064525,              0.0064525,              0.0064525
                     46,                0.48776,                0.42559,                0.97259,                0.87799,                0.88513,                0.91152,                0.65513,                 1.0125,                 0.7758,                 1.2411,                0.00637,                0.00637,                0.00637
                     47,                 0.4743,                0.41538,                 0.9729,                0.80247,                0.76811,                 0.8238,                0.56469,                 1.1275,                 1.1041,                 1.3284,              0.0062875,              0.0062875,              0.0062875
                     48,                 0.4692,                0.40943,                0.97246,                0.80682,                0.86333,                0.88005,                0.58252,                 1.0928,                0.84889,                 1.2733,               0.006205,               0.006205,               0.006205
                     49,                0.47633,                0.41622,                0.97009,                0.79372,                0.85456,                0.86376,                0.58506,                 1.1182,                0.90525,                 1.3348,              0.0061225,              0.0061225,              0.0061225
                     50,                0.46766,                0.40644,                0.96835,                0.86109,                0.90433,                0.91768,                0.63354,                 1.0901,                0.69517,                 1.2801,                0.00604,                0.00604,                0.00604
                     51,                0.46085,                0.40103,                0.96421,                0.83874,                0.83941,                0.88792,                0.59675,                 1.1472,                0.92306,                 1.3237,              0.0059575,              0.0059575,              0.0059575
                     52,                 0.4602,                0.39569,                0.95929,                0.84183,                0.86081,                0.89237,                0.61167,                 1.1409,                0.85043,                 1.3297,               0.005875,               0.005875,               0.005875
                     53,                 0.4522,                0.40043,                0.96384,                0.87562,                0.89807,                0.93057,                0.66979,                 1.0255,                0.67955,                 1.2594,              0.0057925,              0.0057925,              0.0057925
                     54,                 0.4519,                0.38684,                0.95969,                0.86827,                0.85585,                0.89561,                0.62789,                 1.0542,                0.83471,                 1.2689,                0.00571,                0.00571,                0.00571
                     55,                0.45709,                0.38818,                0.95691,                0.85258,                0.84973,                0.89026,                0.63288,                 1.0592,                0.71905,                 1.2869,              0.0056275,              0.0056275,              0.0056275
                     56,                0.44891,                0.38413,                0.95701,                0.83623,                0.85991,                0.89276,                0.64136,                 1.0722,                0.76265,                 1.2691,               0.005545,               0.005545,               0.005545
                     57,                0.45225,                0.38627,                0.96052,                0.83122,                0.88624,                0.90625,                0.63105,                 1.1215,                0.71714,                  1.291,              0.0054625,              0.0054625,              0.0054625
                     58,                0.45259,                 0.3811,                0.96428,                0.83043,                0.90091,                0.90301,                0.62788,                  1.135,                0.81461,                 1.3157,                0.00538,                0.00538,                0.00538
                     59,                0.44382,                0.37842,                0.95576,                0.86733,                0.90205,                0.91263,                0.66045,                 1.0323,                0.71661,                  1.246,              0.0052975,              0.0052975,              0.0052975
                     60,                0.43798,                0.37271,                0.95105,                0.82691,                0.88497,                0.90729,                0.63612,                 1.1153,                0.80885,                 1.3087,               0.005215,               0.005215,               0.005215
                     61,                0.44052,                0.37045,                0.95147,                0.88135,                0.89294,                0.91616,                0.67305,                 1.0035,                0.69642,                 1.2155,              0.0051325,              0.0051325,              0.0051325
                     62,                0.43743,                0.36346,                0.95058,                0.87322,                0.86674,                0.92028,                0.64911,                 1.0664,                0.67873,                 1.2426,                0.00505,                0.00505,                0.00505
                     63,                0.43056,                0.37351,                0.95057,                0.83925,                0.88602,                 0.9111,                0.65329,                 1.0308,                0.77388,                 1.2507,              0.0049675,              0.0049675,              0.0049675
